user id: 2cef5749dee34e75a91156ce072147840b9af008d6e58a82337995744f320f65,time: 0.000000,type: SESSION_START_EVENT
user id: 2cef5749dee34e75a91156ce072147840b9af008d6e58a82337995744f320f65,time: 14.000000,type: SCENE_EVENT,Number scene: 1,Action: ENTER
user id: 2cef5749dee34e75a91156ce072147840b9af008d6e58a82337995744f320f65,time: 17.000000,type: CLICK_EVENT_SCENE,Position_X: 610,Position_Y: 549,Number scene: 1
user id: 2cef5749dee34e75a91156ce072147840b9af008d6e58a82337995744f320f65,time: 17.000000,type: CLICK_EVENT_SCENE,Position_X: 614,Position_Y: 553,Number scene: 1
user id: 2cef5749dee34e75a91156ce072147840b9af008d6e58a82337995744f320f65,time: 17.000000,type: CLICK_EVENT_SCENE,Position_X: 614,Position_Y: 553,Number scene: 1
user id: 2cef5749dee34e75a91156ce072147840b9af008d6e58a82337995744f320f65,time: 17.000000,type: CLICK_EVENT_SCENE,Position_X: 614,Position_Y: 555,Number scene: 1
user id: 2cef5749dee34e75a91156ce072147840b9af008d6e58a82337995744f320f65,time: 18.000000,type: CLICK_EVENT_SCENE,Position_X: 614,Position_Y: 561,Number scene: 1
user id: 2cef5749dee34e75a91156ce072147840b9af008d6e58a82337995744f320f65,time: 18.000000,type: CLICK_EVENT_SCENE,Position_X: 615,Position_Y: 564,Number scene: 1
user id: 2cef5749dee34e75a91156ce072147840b9af008d6e58a82337995744f320f65,time: 18.000000,type: CLICK_EVENT_SCENE,Position_X: 615,Position_Y: 564,Number scene: 1
user id: 2cef5749dee34e75a91156ce072147840b9af008d6e58a82337995744f320f65,time: 18.000000,type: CLICK_EVENT_SCENE,Position_X: 615,Position_Y: 564,Number scene: 1
user id: 2cef5749dee34e75a91156ce072147840b9af008d6e58a82337995744f320f65,time: 18.000000,type: CLICK_EVENT_SCENE,Position_X: 615,Position_Y: 564,Number scene: 1
user id: 2cef5749dee34e75a91156ce072147840b9af008d6e58a82337995744f320f65,time: 19.000000,type: CLICK_EVENT_SCENE,Position_X: 615,Position_Y: 564,Number scene: 1
user id: 2cef5749dee34e75a91156ce072147840b9af008d6e58a82337995744f320f65,time: 19.000000,type: CLICK_EVENT_SCENE,Position_X: 615,Position_Y: 564,Number scene: 1
user id: 2cef5749dee34e75a91156ce072147840b9af008d6e58a82337995744f320f65,time: 19.000000,type: CLICK_EVENT_SCENE,Position_X: 615,Position_Y: 565,Number scene: 1
user id: 2cef5749dee34e75a91156ce072147840b9af008d6e58a82337995744f320f65,time: 19.000000,type: CLICK_EVENT_SCENE,Position_X: 616,Position_Y: 565,Number scene: 1
user id: 2cef5749dee34e75a91156ce072147840b9af008d6e58a82337995744f320f65,time: 20.000000,type: CLICK_EVENT_SCENE,Position_X: 616,Position_Y: 565,Number scene: 1
user id: 2cef5749dee34e75a91156ce072147840b9af008d6e58a82337995744f320f65,time: 20.000000,type: CLICK_EVENT_SCENE,Position_X: 616,Position_Y: 565,Number scene: 1
user id: 2cef5749dee34e75a91156ce072147840b9af008d6e58a82337995744f320f65,time: 20.000000,type: CLICK_EVENT_SCENE,Position_X: 616,Position_Y: 565,Number scene: 1
user id: 2cef5749dee34e75a91156ce072147840b9af008d6e58a82337995744f320f65,time: 20.000000,type: CLICK_EVENT_SCENE,Position_X: 616,Position_Y: 565,Number scene: 1
user id: 2cef5749dee34e75a91156ce072147840b9af008d6e58a82337995744f320f65,time: 20.000000,type: CLICK_EVENT_SCENE,Position_X: 616,Position_Y: 565,Number scene: 1
user id: 2cef5749dee34e75a91156ce072147840b9af008d6e58a82337995744f320f65,time: 21.000000,type: CLICK_EVENT_SCENE,Position_X: 616,Position_Y: 565,Number scene: 1
user id: 2cef5749dee34e75a91156ce072147840b9af008d6e58a82337995744f320f65,time: 31.000000,type: CLICK_EVENT_SCENE,Position_X: 618,Position_Y: 563,Number scene: 1
user id: 2cef5749dee34e75a91156ce072147840b9af008d6e58a82337995744f320f65,time: 40.000000,type: SCENE_EVENT,Number scene: 1,Action: EXIT
user id: 2cef5749dee34e75a91156ce072147840b9af008d6e58a82337995744f320f65,time: 41.000000,type: SESSION_END_EVENT
