user id: 390313f958fb3f42aa02238d1ab4236fda831964196d2faa3d156d5ad4976cd6,time: 0.000000,type: SESSION_START_EVENT
user id: 390313f958fb3f42aa02238d1ab4236fda831964196d2faa3d156d5ad4976cd6,time: 17.000000,type: SCENE_EVENT,Number scene: 0,Action: ENTER
user id: 390313f958fb3f42aa02238d1ab4236fda831964196d2faa3d156d5ad4976cd6,time: 19.000000,type: CLICK_EVENT_SCENE,Position_X: 310,Position_Y: 512,Number scene: 0
user id: 390313f958fb3f42aa02238d1ab4236fda831964196d2faa3d156d5ad4976cd6,time: 19.000000,type: CLICK_EVENT_SCENE,Position_X: 310,Position_Y: 512,Number scene: 0
user id: 390313f958fb3f42aa02238d1ab4236fda831964196d2faa3d156d5ad4976cd6,time: 19.000000,type: CLICK_EVENT_SCENE,Position_X: 310,Position_Y: 512,Number scene: 0
user id: 390313f958fb3f42aa02238d1ab4236fda831964196d2faa3d156d5ad4976cd6,time: 19.000000,type: CLICK_EVENT_SCENE,Position_X: 315,Position_Y: 522,Number scene: 0
user id: 390313f958fb3f42aa02238d1ab4236fda831964196d2faa3d156d5ad4976cd6,time: 19.000000,type: CLICK_EVENT_SCENE,Position_X: 320,Position_Y: 524,Number scene: 0
user id: 390313f958fb3f42aa02238d1ab4236fda831964196d2faa3d156d5ad4976cd6,time: 19.000000,type: CLICK_EVENT_SCENE,Position_X: 320,Position_Y: 524,Number scene: 0
user id: 390313f958fb3f42aa02238d1ab4236fda831964196d2faa3d156d5ad4976cd6,time: 20.000000,type: CLICK_EVENT_SCENE,Position_X: 323,Position_Y: 525,Number scene: 0
user id: 390313f958fb3f42aa02238d1ab4236fda831964196d2faa3d156d5ad4976cd6,time: 20.000000,type: CLICK_EVENT_SCENE,Position_X: 323,Position_Y: 526,Number scene: 0
user id: 390313f958fb3f42aa02238d1ab4236fda831964196d2faa3d156d5ad4976cd6,time: 20.000000,type: CLICK_EVENT_SCENE,Position_X: 320,Position_Y: 522,Number scene: 0
user id: 390313f958fb3f42aa02238d1ab4236fda831964196d2faa3d156d5ad4976cd6,time: 20.000000,type: CLICK_EVENT_SCENE,Position_X: 317,Position_Y: 522,Number scene: 0
user id: 390313f958fb3f42aa02238d1ab4236fda831964196d2faa3d156d5ad4976cd6,time: 20.000000,type: CLICK_EVENT_SCENE,Position_X: 313,Position_Y: 522,Number scene: 0
user id: 390313f958fb3f42aa02238d1ab4236fda831964196d2faa3d156d5ad4976cd6,time: 21.000000,type: CLICK_EVENT_SCENE,Position_X: 313,Position_Y: 522,Number scene: 0
user id: 390313f958fb3f42aa02238d1ab4236fda831964196d2faa3d156d5ad4976cd6,time: 21.000000,type: CLICK_EVENT_SCENE,Position_X: 313,Position_Y: 522,Number scene: 0
user id: 390313f958fb3f42aa02238d1ab4236fda831964196d2faa3d156d5ad4976cd6,time: 21.000000,type: CLICK_EVENT_SCENE,Position_X: 312,Position_Y: 522,Number scene: 0
user id: 390313f958fb3f42aa02238d1ab4236fda831964196d2faa3d156d5ad4976cd6,time: 21.000000,type: CLICK_EVENT_SCENE,Position_X: 311,Position_Y: 524,Number scene: 0
user id: 390313f958fb3f42aa02238d1ab4236fda831964196d2faa3d156d5ad4976cd6,time: 21.000000,type: CLICK_EVENT_SCENE,Position_X: 311,Position_Y: 524,Number scene: 0
user id: 390313f958fb3f42aa02238d1ab4236fda831964196d2faa3d156d5ad4976cd6,time: 21.000000,type: CLICK_EVENT_SCENE,Position_X: 311,Position_Y: 524,Number scene: 0
user id: 390313f958fb3f42aa02238d1ab4236fda831964196d2faa3d156d5ad4976cd6,time: 22.000000,type: CLICK_EVENT_SCENE,Position_X: 310,Position_Y: 524,Number scene: 0
user id: 390313f958fb3f42aa02238d1ab4236fda831964196d2faa3d156d5ad4976cd6,time: 22.000000,type: CLICK_EVENT_SCENE,Position_X: 310,Position_Y: 524,Number scene: 0
user id: 390313f958fb3f42aa02238d1ab4236fda831964196d2faa3d156d5ad4976cd6,time: 22.000000,type: CLICK_EVENT_SCENE,Position_X: 310,Position_Y: 524,Number scene: 0
user id: 390313f958fb3f42aa02238d1ab4236fda831964196d2faa3d156d5ad4976cd6,time: 22.000000,type: CLICK_EVENT_SCENE,Position_X: 310,Position_Y: 525,Number scene: 0
user id: 390313f958fb3f42aa02238d1ab4236fda831964196d2faa3d156d5ad4976cd6,time: 23.000000,type: CLICK_EVENT_SCENE,Position_X: 302,Position_Y: 526,Number scene: 0
user id: 390313f958fb3f42aa02238d1ab4236fda831964196d2faa3d156d5ad4976cd6,time: 23.000000,type: CLICK_EVENT_SCENE,Position_X: 301,Position_Y: 524,Number scene: 0
user id: 390313f958fb3f42aa02238d1ab4236fda831964196d2faa3d156d5ad4976cd6,time: 24.000000,type: CLICK_EVENT_SCENE,Position_X: 301,Position_Y: 524,Number scene: 0
user id: 390313f958fb3f42aa02238d1ab4236fda831964196d2faa3d156d5ad4976cd6,time: 24.000000,type: CLICK_EVENT_SCENE,Position_X: 301,Position_Y: 524,Number scene: 0
user id: 390313f958fb3f42aa02238d1ab4236fda831964196d2faa3d156d5ad4976cd6,time: 24.000000,type: CLICK_EVENT_SCENE,Position_X: 301,Position_Y: 524,Number scene: 0
user id: 390313f958fb3f42aa02238d1ab4236fda831964196d2faa3d156d5ad4976cd6,time: 24.000000,type: CLICK_EVENT_SCENE,Position_X: 301,Position_Y: 524,Number scene: 0
user id: 390313f958fb3f42aa02238d1ab4236fda831964196d2faa3d156d5ad4976cd6,time: 24.000000,type: CLICK_EVENT_SCENE,Position_X: 301,Position_Y: 524,Number scene: 0
user id: 390313f958fb3f42aa02238d1ab4236fda831964196d2faa3d156d5ad4976cd6,time: 25.000000,type: CLICK_EVENT_SCENE,Position_X: 301,Position_Y: 524,Number scene: 0
user id: 390313f958fb3f42aa02238d1ab4236fda831964196d2faa3d156d5ad4976cd6,time: 25.000000,type: CLICK_EVENT_SCENE,Position_X: 301,Position_Y: 523,Number scene: 0
user id: 390313f958fb3f42aa02238d1ab4236fda831964196d2faa3d156d5ad4976cd6,time: 25.000000,type: CLICK_EVENT_SCENE,Position_X: 301,Position_Y: 523,Number scene: 0
user id: 390313f958fb3f42aa02238d1ab4236fda831964196d2faa3d156d5ad4976cd6,time: 25.000000,type: CLICK_EVENT_SCENE,Position_X: 301,Position_Y: 523,Number scene: 0
user id: 390313f958fb3f42aa02238d1ab4236fda831964196d2faa3d156d5ad4976cd6,time: 26.000000,type: CLICK_EVENT_SCENE,Position_X: 301,Position_Y: 523,Number scene: 0
user id: 390313f958fb3f42aa02238d1ab4236fda831964196d2faa3d156d5ad4976cd6,time: 26.000000,type: CLICK_EVENT_SCENE,Position_X: 301,Position_Y: 523,Number scene: 0
user id: 390313f958fb3f42aa02238d1ab4236fda831964196d2faa3d156d5ad4976cd6,time: 27.000000,type: CLICK_EVENT_SCENE,Position_X: 301,Position_Y: 523,Number scene: 0
user id: 390313f958fb3f42aa02238d1ab4236fda831964196d2faa3d156d5ad4976cd6,time: 27.000000,type: CLICK_EVENT_SCENE,Position_X: 301,Position_Y: 523,Number scene: 0
user id: 390313f958fb3f42aa02238d1ab4236fda831964196d2faa3d156d5ad4976cd6,time: 27.000000,type: CLICK_EVENT_SCENE,Position_X: 301,Position_Y: 523,Number scene: 0
user id: 390313f958fb3f42aa02238d1ab4236fda831964196d2faa3d156d5ad4976cd6,time: 27.000000,type: CLICK_EVENT_SCENE,Position_X: 301,Position_Y: 523,Number scene: 0
user id: 390313f958fb3f42aa02238d1ab4236fda831964196d2faa3d156d5ad4976cd6,time: 27.000000,type: CLICK_EVENT_SCENE,Position_X: 301,Position_Y: 523,Number scene: 0
user id: 390313f958fb3f42aa02238d1ab4236fda831964196d2faa3d156d5ad4976cd6,time: 28.000000,type: CLICK_EVENT_SCENE,Position_X: 301,Position_Y: 523,Number scene: 0
user id: 390313f958fb3f42aa02238d1ab4236fda831964196d2faa3d156d5ad4976cd6,time: 28.000000,type: CLICK_EVENT_SCENE,Position_X: 301,Position_Y: 523,Number scene: 0
user id: 390313f958fb3f42aa02238d1ab4236fda831964196d2faa3d156d5ad4976cd6,time: 28.000000,type: CLICK_EVENT_SCENE,Position_X: 301,Position_Y: 523,Number scene: 0
user id: 390313f958fb3f42aa02238d1ab4236fda831964196d2faa3d156d5ad4976cd6,time: 28.000000,type: CLICK_EVENT_SCENE,Position_X: 301,Position_Y: 523,Number scene: 0
