user id: 7d20c88102c7f2c8d116903620b15018dd4dc469386c63fafef237a19b4eb562,time: 0.000000,type: SESSION_START_EVENT
user id: 7d20c88102c7f2c8d116903620b15018dd4dc469386c63fafef237a19b4eb562,time: 26.000000,type: SCENE_EVENT,Number scene: 0,Action: ENTER
user id: 7d20c88102c7f2c8d116903620b15018dd4dc469386c63fafef237a19b4eb562,time: 30.000000,type: CLICK_EVENT_SCENE,Position_X: 399,Position_Y: 517,Number scene: 0
user id: 7d20c88102c7f2c8d116903620b15018dd4dc469386c63fafef237a19b4eb562,time: 31.000000,type: CLICK_EVENT_SCENE,Position_X: 409,Position_Y: 511,Number scene: 0
user id: 7d20c88102c7f2c8d116903620b15018dd4dc469386c63fafef237a19b4eb562,time: 31.000000,type: CLICK_EVENT_SCENE,Position_X: 427,Position_Y: 526,Number scene: 0
user id: 7d20c88102c7f2c8d116903620b15018dd4dc469386c63fafef237a19b4eb562,time: 31.000000,type: CLICK_EVENT_SCENE,Position_X: 474,Position_Y: 569,Number scene: 0
user id: 7d20c88102c7f2c8d116903620b15018dd4dc469386c63fafef237a19b4eb562,time: 31.000000,type: CLICK_EVENT_SCENE,Position_X: 474,Position_Y: 576,Number scene: 0
user id: 7d20c88102c7f2c8d116903620b15018dd4dc469386c63fafef237a19b4eb562,time: 32.000000,type: CLICK_EVENT_SCENE,Position_X: 475,Position_Y: 590,Number scene: 0
user id: 7d20c88102c7f2c8d116903620b15018dd4dc469386c63fafef237a19b4eb562,time: 32.000000,type: CLICK_EVENT_SCENE,Position_X: 474,Position_Y: 590,Number scene: 0
user id: 7d20c88102c7f2c8d116903620b15018dd4dc469386c63fafef237a19b4eb562,time: 32.000000,type: CLICK_EVENT_SCENE,Position_X: 474,Position_Y: 590,Number scene: 0
user id: 7d20c88102c7f2c8d116903620b15018dd4dc469386c63fafef237a19b4eb562,time: 32.000000,type: CLICK_EVENT_SCENE,Position_X: 474,Position_Y: 590,Number scene: 0
user id: 7d20c88102c7f2c8d116903620b15018dd4dc469386c63fafef237a19b4eb562,time: 32.000000,type: CLICK_EVENT_SCENE,Position_X: 474,Position_Y: 590,Number scene: 0
user id: 7d20c88102c7f2c8d116903620b15018dd4dc469386c63fafef237a19b4eb562,time: 32.000000,type: CLICK_EVENT_SCENE,Position_X: 474,Position_Y: 590,Number scene: 0
user id: 7d20c88102c7f2c8d116903620b15018dd4dc469386c63fafef237a19b4eb562,time: 32.000000,type: CLICK_EVENT_SCENE,Position_X: 474,Position_Y: 590,Number scene: 0
user id: 7d20c88102c7f2c8d116903620b15018dd4dc469386c63fafef237a19b4eb562,time: 32.000000,type: CLICK_EVENT_SCENE,Position_X: 474,Position_Y: 590,Number scene: 0
user id: 7d20c88102c7f2c8d116903620b15018dd4dc469386c63fafef237a19b4eb562,time: 33.000000,type: CLICK_EVENT_SCENE,Position_X: 474,Position_Y: 590,Number scene: 0
user id: 7d20c88102c7f2c8d116903620b15018dd4dc469386c63fafef237a19b4eb562,time: 33.000000,type: CLICK_EVENT_SCENE,Position_X: 474,Position_Y: 590,Number scene: 0
user id: 7d20c88102c7f2c8d116903620b15018dd4dc469386c63fafef237a19b4eb562,time: 33.000000,type: CLICK_EVENT_SCENE,Position_X: 474,Position_Y: 590,Number scene: 0
user id: 7d20c88102c7f2c8d116903620b15018dd4dc469386c63fafef237a19b4eb562,time: 33.000000,type: CLICK_EVENT_SCENE,Position_X: 481,Position_Y: 581,Number scene: 0
user id: 7d20c88102c7f2c8d116903620b15018dd4dc469386c63fafef237a19b4eb562,time: 33.000000,type: CLICK_EVENT_SCENE,Position_X: 482,Position_Y: 578,Number scene: 0
user id: 7d20c88102c7f2c8d116903620b15018dd4dc469386c63fafef237a19b4eb562,time: 33.000000,type: CLICK_EVENT_SCENE,Position_X: 482,Position_Y: 578,Number scene: 0
user id: 7d20c88102c7f2c8d116903620b15018dd4dc469386c63fafef237a19b4eb562,time: 36.000000,type: SCENE_EVENT,Number scene: 0,Action: EXIT
user id: 7d20c88102c7f2c8d116903620b15018dd4dc469386c63fafef237a19b4eb562,time: 37.000000,type: SESSION_END_EVENT
