user id: a56ac25951c6d6a44214eb7b3a72cbb6b13cdab775659ac6b4a2f1d4b86be9f7,time: 0.000000,type: SESSION_START_EVENT
user id: a56ac25951c6d6a44214eb7b3a72cbb6b13cdab775659ac6b4a2f1d4b86be9f7,time: 15.000000,type: SCENE_EVENT,Number scene: 0,Action: ENTER
user id: a56ac25951c6d6a44214eb7b3a72cbb6b13cdab775659ac6b4a2f1d4b86be9f7,time: 16.000000,type: CLICK_EVENT_SCENE,Position_X: 438,Position_Y: 472,Number scene: 0
user id: a56ac25951c6d6a44214eb7b3a72cbb6b13cdab775659ac6b4a2f1d4b86be9f7,time: 16.000000,type: CLICK_EVENT_SCENE,Position_X: 437,Position_Y: 472,Number scene: 0
user id: a56ac25951c6d6a44214eb7b3a72cbb6b13cdab775659ac6b4a2f1d4b86be9f7,time: 17.000000,type: CLICK_EVENT_SCENE,Position_X: 420,Position_Y: 437,Number scene: 0
user id: a56ac25951c6d6a44214eb7b3a72cbb6b13cdab775659ac6b4a2f1d4b86be9f7,time: 17.000000,type: CLICK_EVENT_SCENE,Position_X: 420,Position_Y: 437,Number scene: 0
user id: a56ac25951c6d6a44214eb7b3a72cbb6b13cdab775659ac6b4a2f1d4b86be9f7,time: 17.000000,type: CLICK_EVENT_SCENE,Position_X: 420,Position_Y: 435,Number scene: 0
user id: a56ac25951c6d6a44214eb7b3a72cbb6b13cdab775659ac6b4a2f1d4b86be9f7,time: 17.000000,type: CLICK_EVENT_SCENE,Position_X: 430,Position_Y: 405,Number scene: 0
user id: a56ac25951c6d6a44214eb7b3a72cbb6b13cdab775659ac6b4a2f1d4b86be9f7,time: 17.000000,type: CLICK_EVENT_SCENE,Position_X: 430,Position_Y: 405,Number scene: 0
user id: a56ac25951c6d6a44214eb7b3a72cbb6b13cdab775659ac6b4a2f1d4b86be9f7,time: 17.000000,type: CLICK_EVENT_SCENE,Position_X: 432,Position_Y: 403,Number scene: 0
user id: a56ac25951c6d6a44214eb7b3a72cbb6b13cdab775659ac6b4a2f1d4b86be9f7,time: 18.000000,type: CLICK_EVENT_SCENE,Position_X: 433,Position_Y: 392,Number scene: 0
user id: a56ac25951c6d6a44214eb7b3a72cbb6b13cdab775659ac6b4a2f1d4b86be9f7,time: 18.000000,type: CLICK_EVENT_SCENE,Position_X: 431,Position_Y: 385,Number scene: 0
user id: a56ac25951c6d6a44214eb7b3a72cbb6b13cdab775659ac6b4a2f1d4b86be9f7,time: 18.000000,type: CLICK_EVENT_SCENE,Position_X: 426,Position_Y: 387,Number scene: 0
user id: a56ac25951c6d6a44214eb7b3a72cbb6b13cdab775659ac6b4a2f1d4b86be9f7,time: 18.000000,type: CLICK_EVENT_SCENE,Position_X: 424,Position_Y: 393,Number scene: 0
user id: a56ac25951c6d6a44214eb7b3a72cbb6b13cdab775659ac6b4a2f1d4b86be9f7,time: 18.000000,type: CLICK_EVENT_SCENE,Position_X: 424,Position_Y: 393,Number scene: 0
user id: a56ac25951c6d6a44214eb7b3a72cbb6b13cdab775659ac6b4a2f1d4b86be9f7,time: 19.000000,type: SCENE_EVENT,Number scene: 0,Action: EXIT
user id: a56ac25951c6d6a44214eb7b3a72cbb6b13cdab775659ac6b4a2f1d4b86be9f7,time: 21.000000,type: SESSION_END_EVENT
