user id: b8ab47f5ca4bc574950bc957a88dda0cbbcca06f7d6cb9b1379438001132b5f2,time: 0.000000,type: SESSION_START_EVENT
user id: b8ab47f5ca4bc574950bc957a88dda0cbbcca06f7d6cb9b1379438001132b5f2,time: 14.000000,type: SCENE_EVENT,Number scene: 1,Action: ENTER
user id: b8ab47f5ca4bc574950bc957a88dda0cbbcca06f7d6cb9b1379438001132b5f2,time: 16.000000,type: CLICK_EVENT_SCENE,Position_X: 682,Position_Y: 487,Number scene: 1
user id: b8ab47f5ca4bc574950bc957a88dda0cbbcca06f7d6cb9b1379438001132b5f2,time: 16.000000,type: CLICK_EVENT_SCENE,Position_X: 685,Position_Y: 487,Number scene: 1
user id: b8ab47f5ca4bc574950bc957a88dda0cbbcca06f7d6cb9b1379438001132b5f2,time: 16.000000,type: CLICK_EVENT_SCENE,Position_X: 685,Position_Y: 487,Number scene: 1
user id: b8ab47f5ca4bc574950bc957a88dda0cbbcca06f7d6cb9b1379438001132b5f2,time: 17.000000,type: CLICK_EVENT_SCENE,Position_X: 685,Position_Y: 487,Number scene: 1
user id: b8ab47f5ca4bc574950bc957a88dda0cbbcca06f7d6cb9b1379438001132b5f2,time: 17.000000,type: CLICK_EVENT_SCENE,Position_X: 685,Position_Y: 487,Number scene: 1
user id: b8ab47f5ca4bc574950bc957a88dda0cbbcca06f7d6cb9b1379438001132b5f2,time: 17.000000,type: CLICK_EVENT_SCENE,Position_X: 685,Position_Y: 487,Number scene: 1
user id: b8ab47f5ca4bc574950bc957a88dda0cbbcca06f7d6cb9b1379438001132b5f2,time: 17.000000,type: CLICK_EVENT_SCENE,Position_X: 685,Position_Y: 487,Number scene: 1
user id: b8ab47f5ca4bc574950bc957a88dda0cbbcca06f7d6cb9b1379438001132b5f2,time: 17.000000,type: CLICK_EVENT_SCENE,Position_X: 685,Position_Y: 487,Number scene: 1
user id: b8ab47f5ca4bc574950bc957a88dda0cbbcca06f7d6cb9b1379438001132b5f2,time: 17.000000,type: CLICK_EVENT_SCENE,Position_X: 685,Position_Y: 487,Number scene: 1
user id: b8ab47f5ca4bc574950bc957a88dda0cbbcca06f7d6cb9b1379438001132b5f2,time: 18.000000,type: CLICK_EVENT_SCENE,Position_X: 549,Position_Y: 532,Number scene: 1
user id: b8ab47f5ca4bc574950bc957a88dda0cbbcca06f7d6cb9b1379438001132b5f2,time: 18.000000,type: CLICK_EVENT_SCENE,Position_X: 549,Position_Y: 534,Number scene: 1
user id: b8ab47f5ca4bc574950bc957a88dda0cbbcca06f7d6cb9b1379438001132b5f2,time: 19.000000,type: CLICK_EVENT_SCENE,Position_X: 549,Position_Y: 534,Number scene: 1
user id: b8ab47f5ca4bc574950bc957a88dda0cbbcca06f7d6cb9b1379438001132b5f2,time: 19.000000,type: CLICK_EVENT_SCENE,Position_X: 541,Position_Y: 538,Number scene: 1
